Time,State of Charge (MWh),Charge Take from Hourly Market (MWh),Discharge to Hourly market (MWh),Is Charging in Hourly Market,Charge taken from Half Hourly Market (MWh),Discharge to Half Hourly Market (MWh),Is Charging in Half Hourly Market,Current Degradation (MWh),Total Cycles,Hourly Price (£/MWh),Half Hourly Price (£/MWh),Objective Value (£)
137,0.0404271985331282,0.0,0.04042719853312821,0.0,-0.0,0.0,-0.0,0.0006082855824253473,6.082855824253473,53.84,46.41,-499431.6953007451
138,0.026951465688752143,0.0,0.013475732844376071,0.0,0.0,0.0,0.0,0.000608454029085902,6.08454029085902,50.285,46.58,-499431.6953007451
139,0.013475732844376071,0.0,0.013475732844376071,0.0,0.0,0.0,0.0,0.0006086224757464567,6.086224757464567,50.285,46.71,-499431.6953007451
140,0.008983821896250715,0.0,0.004491910948125357,0.0,0.0,0.0,0.0,0.0006086786246333083,6.086786246333083,47.24,43.22,-499431.6953007451
141,0.004491910948125359,0.0,0.004491910948125357,0.0,0.0,0.0,0.0,0.0006087347735201599,6.0873477352015986,47.24,42.18,-499431.6953007451
142,0.004491910948124955,0.0,0.0,1.0,0.0,0.0,1.0,0.0006087347735201599,6.0873477352015986,45.19,41.4,-499431.6953007451
143,0.9544919109481249,0.0,0.0,1.0,1.0,0.0,1.0,0.0006212347735201598,6.2123477352015986,45.19,40.08,-499431.6953007451
144,1.9044919109481249,0.0,0.0,1.0,1.0,0.0,1.0,0.0006337347735201599,6.3373477352015986,43.77,40.31,-499431.6953007451
145,1.9044919109481249,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337347735201599,6.3373477352015986,43.77,41.76,-499431.6953007451
146,1.9044919109481249,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337347735201599,6.3373477352015986,46.18,42.68,-499431.6953007451
147,2.854491910948125,0.0,-0.0,1.0,1.0,0.0,1.0,0.0006462347735201599,6.4623477352015986,46.18,40.63,-499431.6953007451
148,3.4269190721191367,0.0,0.0,1.0,0.602554906495802,0.0,1.0,0.0006537667098513575,6.537667098513574,44.305,39.87,-499431.6953007451
149,3.713130769732948,0.0,0.0,1.0,0.30127547117243303,0.0,1.0,0.0006575326532410129,6.575326532410128,44.305,40.26,-499431.6953007451
150,2.713130769732948,0.0,1.0,0.0,0.0,0.0,0.0,0.0006700326532410128,6.700326532410128,48.955,43.24,-499431.6953007451
151,1.7131307697329483,0.0,1.0,0.0,0.0,0.0,0.0,0.0006825326532410128,6.825326532410128,48.955,43.31,-499431.6953007451
152,2.6631307697329483,0.0,0.0,1.0,1.0,0.0,1.0,0.0006950326532410129,6.950326532410128,43.4,43.17,-499431.6953007451
153,2.663130769732949,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0006950326532410129,6.950326532410128,43.4,42.92,-499431.6953007451
